group_id,group_name_ru,group_name_en,c,cr,ni,mo,v,w,co,mn,si,cu,nb,n,s,p,description
COLD_WORK_TOOL,Холодноштамповые,Cold Work Tool Steel,10,10,3,8,9,7,3,5,4,2,7,2,1,1,"Высокая твердость и износостойкость при комнатной температуре. Карбиды C-Cr-V-Mo-W-Nb критичны."
HOT_WORK_TOOL,Горячештамповые,Hot Work Tool Steel,7,10,7,10,9,8,4,4,5,2,3,2,1,1,"Красностойкость и ударная вязкость. Mo-Cr-V-W для теплостойкости, Ni для вязкости."
HSS_HIGH_SPEED,Быстрорежущие,High Speed Steel (HSS),8,5,2,10,9,10,8,3,3,1,4,2,1,1,"Сохранение твердости режущей кромки при высоких T. W-Mo-V-Co критичны."
PLASTIC_MOLD,Для пресс-форм,Plastic Mold Steel,7,10,7,8,5,3,1,5,4,2,2,2,5,1,"Полируемость и коррозионная стойкость. Cr критичен, S важна для обрабатываемости."
STAINLESS_AUSTENITIC,Нержавеющие аустенитные,Austenitic Stainless Steel,5,10,10,9,2,2,2,4,3,3,6,7,1,1,"Коррозионная стойкость. Cr-Ni-Mo критичны, N важен для прочности."
STAINLESS_MARTENSITIC,Нержавеющие мартенситные,Martensitic Stainless Steel,9,10,4,7,6,3,2,4,3,2,3,3,1,1,"Коррозионная стойкость + твердость. C-Cr критичны."
STAINLESS_FERRITIC,Нержавеющие ферритные,Ferritic Stainless Steel,3,10,2,5,2,2,1,3,3,2,4,3,1,1,"Коррозионная стойкость без Ni. Cr критичен."
STAINLESS_DUPLEX,Дуплексные нержавеющие,Duplex Stainless Steel,4,10,8,9,2,3,2,4,3,3,4,8,1,1,"Прочность + коррозионная стойкость. Cr-Ni-Mo-N критичны."
WEAR_RESISTANT,Износостойкие,Wear Resistant Steel (AR),8,6,5,6,4,3,2,8,4,2,3,2,1,1,"Твердость поверхности. C-Mn критичны, часто с бором."
HADFIELD_MN,Высокомарганцовистые,Hadfield Manganese Steel,9,4,3,3,2,2,2,10,4,2,2,2,1,1,"Упрочнение при ударных нагрузках. Mn-C критичны."
ALLOY_STRUCTURAL,Конструкционные легированные,Alloy Structural Steel,9,7,7,7,5,3,2,6,4,3,3,3,2,2,"Прочность + вязкость. C-Cr-Ni-Mo важны."
NICKEL_SUPERALLOY,Жаропрочные никелевые,Nickel-Base Superalloy,4,9,10,9,3,8,9,3,3,3,7,3,1,1,"Жаропрочность при T>600°C. Ni-Cr-Mo-Co-W-Nb критичны."
CARBON_STEEL,Углеродистые,Carbon Steel,10,3,2,3,2,2,1,6,4,2,2,2,3,3,"Базовые стали. C определяет класс."
SPRING_STEEL,Пружинные,Spring Steel,8,6,4,4,6,3,2,7,9,2,2,2,1,1,"Упругость и усталостная прочность. C-Si-Mn-V критичны."
BEARING_STEEL,Подшипниковые,Bearing Steel,10,10,3,5,3,3,2,4,4,2,2,2,1,1,"Контактная выносливость. C-Cr критичны, чистота по S и P."
