grade;standard;manufacturer;country;source
Nickel 200;;;;csv:Спец сплавы.csv
Nickel 201;;;;csv:Спец сплавы.csv
Nickel 205;;;;csv:Спец сплавы.csv
Nickel 212;;;;csv:Спец сплавы.csv
Nickel 222;;;;csv:Спец сплавы.csv
MONEL alloy 400;;;;csv:Спец сплавы.csv
MONEL alloy 500;;;;csv:Спец сплавы.csv
Cast MONEL alloy;;;;csv:Спец сплавы.csv
INCONEL alloy 600;;;;csv:Спец сплавы.csv
INCONEL alloy 617;;;;csv:Спец сплавы.csv
INCONEL alloy 625;;;;csv:Спец сплавы.csv
INCONEL alloy 718;;;;csv:Спец сплавы.csv
INCOLOY alloy 800;;;;csv:Спец сплавы.csv
"Alloy 800 HT
Sanicro® 31HT";;;;csv:Спец сплавы.csv
INCOLOY alloy 825;;;;csv:Спец сплавы.csv
INCOLOY alloy 904;;;;csv:Спец сплавы.csv
INCOLOY alloy DS;;;;csv:Спец сплавы.csv
Hastalloy B;;;;csv:Спец сплавы.csv
Hastalloy C;;;;csv:Спец сплавы.csv
Hastalloy G;;;;csv:Спец сплавы.csv
Nimonic® 75;;;;csv:Спец сплавы.csv
Nimonic® 80A;;;;csv:Спец сплавы.csv
Nimonic® 90;;;;csv:Спец сплавы.csv
Nitronic® 50;;;;csv:Спец сплавы.csv
P550;;;;csv:Спец сплавы.csv
P500;;;;csv:Спец сплавы.csv
AMAGNIT 3890 mod;;;;csv:Спец сплавы.csv
X 3 MnCrNiMoN 20 13;;;;csv:Спец сплавы.csv
TWZ-3HS (P550);;;;csv:Спец сплавы.csv
